problem_name,cost,approx_ratio,n_steps
er_14_0.3_0,29.0,1.0,9
er_14_0.3_1,19.0,1.0,17
er_14_0.3_2,23.0,1.0,8
er_14_0.5_0,34.0,1.0,9
er_14_0.5_1,32.0,1.0,10
er_14_0.5_2,34.0,1.0,5
er_14_0.7_0,42.0,1.0,9
er_14_0.7_1,41.0,1.0,21
er_14_0.7_2,38.0,1.0,13
er_16_0.3_0,26.0,1.0,8
er_16_0.3_1,30.0,1.0,34
er_16_0.3_2,21.0,0.9545454545454546,8
er_16_0.5_0,46.0,0.9787234042553191,12
er_16_0.5_1,42.0,1.0,37
er_16_0.5_2,39.0,0.975,45
er_16_0.7_0,50.0,1.0,7
er_16_0.7_1,55.0,1.0,37
er_16_0.7_2,54.0,0.9818181818181818,8
er_18_0.3_0,36.0,1.0,188
er_18_0.3_1,34.0,1.0,15
er_18_0.3_2,39.0,1.0,130
er_18_0.5_0,47.0,1.0,51
er_18_0.5_1,56.0,1.0,91
er_18_0.5_2,55.0,0.9821428571428571,74
er_18_0.7_0,66.0,0.9850746268656716,15
er_18_0.7_1,65.0,1.0,75
er_18_0.7_2,65.0,1.0,116
er_20_0.3_0,42.0,0.9545454545454546,29
er_20_0.3_1,38.0,1.0,91
er_20_0.3_2,38.0,1.0,134
er_20_0.5_0,67.0,0.9852941176470589,262
er_20_0.5_1,60.0,0.967741935483871,38
er_20_0.5_2,64.0,1.0,299
er_20_0.7_0,88.0,0.9887640449438202,317
er_20_0.7_1,81.0,0.9759036144578314,161
er_20_0.7_2,79.0,0.9875,122
geo_14_0.3_0,15.0,1.0,5
geo_14_0.3_1,15.0,1.0,5
geo_14_0.3_2,15.0,1.0,5
geo_14_0.5_0,29.0,1.0,14
geo_14_0.5_1,23.0,1.0,1
geo_14_0.5_2,36.0,1.0,11
geo_14_0.7_0,38.0,0.9743589743589743,5
geo_14_0.7_1,46.0,1.0,9
geo_14_0.7_2,41.0,1.0,5
geo_16_0.3_0,17.0,1.0,51
geo_16_0.3_1,23.0,1.0,2
geo_16_0.3_2,18.0,1.0,8
geo_16_0.5_0,36.0,0.972972972972973,22
geo_16_0.5_1,45.0,1.0,16
geo_16_0.5_2,37.0,1.0,16
geo_16_0.7_0,45.0,1.0,16
geo_16_0.7_1,54.0,0.9818181818181818,23
geo_16_0.7_2,56.0,1.0,8
geo_18_0.3_0,19.0,1.0,2
geo_18_0.3_1,24.0,0.96,15
geo_18_0.3_2,23.0,1.0,38
geo_18_0.5_0,41.0,1.0,41
geo_18_0.5_1,49.0,0.98,10
geo_18_0.5_2,46.0,1.0,62
geo_18_0.7_0,68.0,1.0,44
geo_18_0.7_1,79.0,0.9875,84
geo_18_0.7_2,70.0,0.9859154929577465,1
geo_20_0.3_0,31.0,1.0,423
geo_20_0.3_1,30.0,1.0,137
geo_20_0.3_2,32.0,1.0,599
geo_20_0.5_0,53.0,0.9814814814814815,217
geo_20_0.5_1,64.0,1.0,163
geo_20_0.5_2,59.0,1.0,275
geo_20_0.7_0,80.0,0.975609756097561,36
geo_20_0.7_1,87.0,1.0,267
geo_20_0.7_2,81.0,1.0,34
